rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
38,top-100-stars,javascript,147979,26796,JavaScript,https://github.com/airbnb/javascript,airbnb,100,2025-11-06T00:54:14Z,JavaScript Style Guide
39,top-100-stars,langflow,140562,8129,Python,https://github.com/langflow-ai/langflow,langflow-ai,390,2025-12-09T00:28:45Z,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
40,top-100-stars,youtube-dl,139084,10566,Python,https://github.com/ytdl-org/youtube-dl,ytdl-org,3632,2025-11-26T03:02:36Z,Command-line program to download videos from YouTube.com and other video sites
41,top-100-stars,awesome-chatgpt-prompts,138862,18398,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-12-02T18:15:17Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
42,top-100-stars,yt-dlp,137596,11090,Python,https://github.com/yt-dlp/yt-dlp,yt-dlp,1739,2025-12-08T00:15:33Z,A feature-rich command-line audio/video downloader
43,top-100-stars,HelloGitHub,136616,10975,Python,https://github.com/521xueweihan/HelloGitHub,521xueweihan,231,2025-11-28T02:50:29Z,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
44,top-100-stars,next.js,136338,29998,JavaScript,https://github.com/vercel/next.js,vercel,2076,2025-12-09T04:00:30Z,The React Framework
45,top-100-stars,tech-interview-handbook,136059,16307,TypeScript,https://github.com/yangshun/tech-interview-handbook,yangshun,40,2025-11-18T07:55:58Z,Curated coding interview preparation materials for busy software engineers
46,top-100-stars,scrcpy,132190,12349,C,https://github.com/Genymobile/scrcpy,Genymobile,2560,2025-11-28T21:45:28Z,Display and control your Android device
47,top-100-stars,go,131306,18537,Go,https://github.com/golang/go,golang,9254,2025-12-08T23:12:58Z,The Go programming language
48,top-100-stars,fucking-algorithm,129998,23463,Markdown,https://github.com/labuladong/fucking-algorithm,labuladong,0,2025-10-08T04:06:00Z,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
49,top-100-stars,FreeDomain,128018,2296,HTML,https://github.com/DigitalPlatDev/FreeDomain,DigitalPlatDev,0,2025-11-12T18:13:46Z,DigitalPlat FreeDomain: Free Domain For Everyone
50,top-100-stars,PowerToys,126324,7525,C#,https://github.com/microsoft/PowerToys,microsoft,7639,2025-12-09T03:24:43Z,Microsoft PowerToys is a collection of utilities that help you customize Windows and streamline everyday tasks
51,top-100-stars,30-seconds-of-code,125990,12381,JavaScript,https://github.com/Chalarangelo/30-seconds-of-code,Chalarangelo,0,2025-12-02T04:32:47Z,Coding articles to level up your development skills
52,top-100-stars,react-native,124717,25000,C++,https://github.com/facebook/react-native,facebook,704,2025-12-09T00:33:46Z,A framework for building native applications using React
53,top-100-stars,langchain,121441,20029,Python,https://github.com/langchain-ai/langchain,langchain-ai,200,2025-12-09T00:19:51Z,🦜🔗 The platform for reliable agents.
54,top-100-stars,dify,120907,18784,TypeScript,https://github.com/langgenius/dify,langgenius,498,2025-12-09T03:50:33Z,Production-ready platform for agentic workflow development.
55,top-100-stars,hello-algo,119865,14626,Java,https://github.com/krahets/hello-algo,krahets,14,2025-10-30T12:27:41Z,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation"
56,top-100-stars,electron,119311,16763,C++,https://github.com/electron/electron,electron,781,2025-12-09T01:05:58Z,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
57,top-100-stars,kubernetes,119148,41868,Go,https://github.com/kubernetes/kubernetes,kubernetes,1879,2025-12-09T03:44:41Z,Production-Grade Container Scheduling and Management
58,top-100-stars,open-webui,117307,16486,Svelte,https://github.com/open-webui/open-webui,open-webui,183,2025-12-08T17:45:53Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
